Time,kappa,pos,vel,acc,p1,p2,f
0.59,0.430090443,0.498043039,0.02746559,0.399548261,2891112.896,4808900.855,9719.144616
0.6,0.42841909,0.49833679,0.031285526,0.364442291,2868151.764,4831858.693,9635.629713
0.61,0.427121419,0.498666804,0.034718179,0.322086522,2849408.162,4850599.092,9536.010799
0.62,0.426231749,0.49902886,0.037693652,0.273001049,2835314.045,4864690.311,9421.663275
0.63,0.4257783,0.499418063,0.040147814,0.217819338,2826237.694,4873764.27,9294.213957
0.64,0.425782525,0.499828916,0.042023391,0.157279473,2822477.782,4877522.473,9155.509172
0.65,0.426258548,0.500255386,0.04327096,0.092214105,2824258.333,4875741.042,9007.580624
0.66,0.427212714,0.500690989,0.043849856,0.023542512,2831723.938,4868275.492,8852.616834
0.67,0.428643273,0.501128884,0.043728996,-0.047738076,2844935.589,4855064.883,8692.934883
0.68,0.430540198,0.501561968,0.042887623,-0.120559595,2863866.691,4836135.807,8530.957652
0.69,0.432885143,0.501982989,0.041315971,-0.193791752,2888399.724,4811605.721,8369.190591
0.7,0.435651555,0.502384652,0.039015846,-0.266250768,2918323.373,4781685.814,8210.201009
0.71,0.438804921,0.502759741,0.036001099,-0.336711276,2953330.734,4746682.807,8056.593706
0.72,0.442303174,0.503101241,0.032297973,-0.403920439,2993018.661,4706999.608,7910.984877
0.73,0.446097235,0.503402462,0.027945285,-0.466616731,3036888.913,4663134.177,7775.969024
0.74,0.450131689,0.503657165,0.022994403,-0.523552154,3084351.251,4615676.449,7654.081179
0.75,0.45434559,0.503859686,0.017508972,-0.573519191,3134729.025,4565302.76,7547.751257
0.76,0.458673379,0.504005056,0.011564367,-0.615380421,3187267.268,4512767.78,7459.254264
0.77,0.463045908,0.504089113,0.005246825,-0.64810074,3241143.535,4458893.698,7390.655716
0.78,0.467391539,0.504108609,-0.001347733,-0.670779266,3295481.187,4404556.959,7343.757436
0.79,0.47163732,0.504061293,-0.008115199,-0.682679924,3349364.958,4350672.719,7320.044866
0.8,0.475710201,0.503945989,-0.014945059,-0.683257648,3401858.181,4298177.637,7320.641313
0.81,0.479538287,0.503762647,-0.021722407,-0.672179206,3452021.19,4248011.478,7346.270306
0.82,0.483052092,0.503512378,-0.028330128,-0.649336453,3498930.109,4201098.319,7397.229965
0.83,0.486185773,0.503197464,-0.034651182,-0.61485206,3541695.49,4158327.909,7473.37887
0.84,0.488878341,0.502821345,-0.040570899,-0.569077054,3579480.086,4120537.874,7574.134642
0.85,0.491074798,0.502388586,-0.045979216,-0.512581623,3611515.414,4088497.13,7698.482462
0.86,0.492727207,0.501904817,-0.050772795,-0.446139939,3637116.698,4062890.911,7844.992369
0.87,0.493795656,0.501376659,-0.054856969,-0.370711307,3655696.132,4044307.476,8011.841349
0.88,0.494249105,0.50081163,-0.058147486,-0.287418932,3666774.372,4033226.582,8196.838387
0.89,0.494066101,0.500218026,-0.060572042,-0.197528394,3669990.393,4030009.601,8397.449288
0.9,0.49323534,0.499604804,-0.0620716,-0.102426571,3665109.757,4034891.219,8610.820875
0.91,0.49175607,0.498981436,-0.062601501,-0.003601987,3652031.413,4047972.624,8833.803897
0.92,0.489638323,0.498357768,-0.062132389,0.097373866,3630792.936,4069216.236,9062.976888
0.93,0.486902964,0.497743854,-0.06065095,0.19886458,3601574.123,4098442.118,9294.673197
0.94,0.48358156,0.497149803,-0.058160465,0.299187708,3564698.577,4135326.379,9525.015548
0.95,0.479716065,0.496585602,-0.054681165,0.396635531,3520632.921,4179401.98,9749.961699
0.96,0.475358325,0.496060954,-0.050250361,0.489499256,3469983.098,4230062.445,9965.365386
0.97,0.470569399,0.495585101,-0.044922315,0.576097305,3413487.347,4286568.93,10167.05453
0.98,0.465418723,0.495166661,-0.038767799,0.654808174,3352005.416,4348061.034,10350.92753
0.99,0.459983105,0.494813466,-0.031873311,0.724107099,3286503.94,4413571.483,10513.0651
1,0.45434559,0.494532409,-0.024339913,0.782605246,3218038.049,4482044.561,10649.85299
1.01,0.448651129,0.494329308,-0.016281672,0.829088999,3147729.757,4552357.777,10758.10764
1.02,0.443046474,0.494208691,-0.007842586,0.858785173,3077508.724,4622579.271,10827.1268
1.03,0.437620013,0.494173452,0.000794565,0.868707661,3009299.367,4690786.198,10850.17765
1.04,0.432457324,0.494224649,0.009445017,0.861445702,2944106.472,4755974.473,10832.67325
1.05,0.427639826,0.494361598,0.01794582,0.8387734,2882884.295,4817189.625,10778.49639
1.06,0.423243494,0.494582068,0.026149535,0.802019104,2826527.698,4873537.662,10690.75897
1.07,0.41933766,0.494882413,0.033921552,0.752422016,2775835.536,4924219.862,10572.53378
1.08,0.415983923,0.495257707,0.041139334,0.691157988,2731515.687,4968529.236,10426.8752
1.09,0.413235172,0.495701854,0.047692476,0.619478644,2694163.934,5005870.298,10257.07887
1.1,0.411134756,0.49620772,0.053483127,0.538644497,2664275.195,5035748.908,10066.50039
1.11,0.409715802,0.496767257,0.058426432,0.449995019,2642231.07,5057783.778,9858.667057
1.12,0.409000685,0.497371635,0.062450931,0.354870592,2628312.504,5071694.546,9637.077906
1.13,0.409000685,0.498011376,0.065498831,0.254665068,2622691.017,5077309.921,9405.286213
1.14,0.409715802,0.498676497,0.067526224,0.150761745,2625439.449,5074557.413,9166.741156
1.15,0.411134756,0.499356642,0.068503232,0.044584155,2636523.612,5063471.3,8924.878728
1.16,0.413235172,0.50004123,0.068414176,-0.062451514,2655809.6,5044185.59,8683.011712
1.17,0.415983923,0.500719593,0.067257745,-0.168888033,2683054.843,5016942.766,8444.427513
1.18,0.41933766,0.501381123,0.06504721,-0.273266463,2717912.715,4982089.307,8212.307505
1.19,0.423243494,0.502015421,0.06181063,-0.374088261,2759924.288,4940083.859,7989.812791
1.2,0.427639826,0.502612439,0.057591039,-0.469857833,2808522.915,4891492.692,7780.006424
1.21,0.432457324,0.503162637,0.052446507,-0.559063709,2863029.593,4836994.345,7585.90706
1.22,0.437620013,0.503657131,0.046450034,-0.640232545,2922661.076,4777371.52,7410.394546
1.23,0.443046474,0.504087837,0.03968915,-0.71193234,2986531.947,4713509.071,7256.223065
1.24,0.448651129,0.504447619,0.032265175,-0.772837821,3053669.06,4646379.553,7125.907275
