Time,s1*,s1d*,s1dd*,s2*,s2d*,s2dd*,f*,E*,s1_ref,s1d_ref,s1dd_ref,s2_ref,s2d_ref,s2dd_ref,f_ref,E_ref
0.0,0.0,100.0,0.0,0.0,-100.0,0.0,-0.0,10000.0,0.0,100.0,-0.0,0.0,-100.0,0.0,0.0,10000.0
0.001,0.1,100.0,0.0,-0.1,-100.0,0.0,-10.0,10007.05,0.09999650011924703,99.98950059622918,-20.997615124864218,-0.09998000111747046,-99.94000558729314,119.97765124114221,-19.99765012367175,9999.999999999998
0.002,0.19997900000000002,99.979,-21.0,-0.19989,-99.89,110.0,-29.9979,10015.078995410255,0.19997200381561944,99.9580095386682,-41.98092399534087,-0.19984003575622733,-99.76008938676183,239.821239713412,-39.981203957184675,10000.000000000002
0.003,0.29991601331,99.93701331,-41.98669,-0.29955011210000004,-99.6601121,229.8879,-49.980601331,10023.055151234306,0.29990552897124884,99.9055482810813,-62.93563533562525,-0.2994602714878788,-99.46045243672413,359.39685153379156,-59.936580045912756,10000.0
0.004,0.3997900808473259,99.8740675373259,-62.9457726741,-0.39886069348656905,-99.31058138656901,349.53071343100004,-69.9340192947326,10030.94671080956,0.3997761220633017,99.83215255478399,-83.84748781055744,-0.39872114383594254,-99.04142955295987,478.57087042586693,-79.84972658992442,9999.999999999996
0.005,0.49958028540641,99.79020455908403,-83.86297824186276,-0.4977024801603568,-98.84178667378771,468.79471278130166,-89.8440978892979,10038.72228681674,0.49956287242407066,99.73787233123443,-104.70226495461306,-0.49750348987965287,-98.50348895687472,597.2101261100252,-99.70663623037235,9999.999999999998
0.006,0.5992657658860833,99.68548047967329,-104.72407941074077,-0.5959567202560948,-98.25424009573806,587.5465780496547,-109.69682460464401,10046.351000696142,0.5992449264561995,99.62277176971911,-125.48581005137957,-0.5956886814119763,-97.84723175550748,715.1820421987939,-119.49336078681758,9999.999999999996
0.007,0.6988257314594835,99.5599655734002,-125.51490627307864,-0.6935053068069721,-97.54858655087732,705.6535448607389,-129.47824517155783,10053.80261983079,0.6988015017881658,99.48692915019097,-146.18404094706966,-0.6931587575037143,-97.07339127395821,832.3547834329023,-139.196025929188,10000.000000000002
0.008,0.7982394756717424,99.41374421225896,-146.2213611412404,-0.7902309098058709,-96.7256029988988,822.9835519785299,-149.17447824787143,10061.047691886397,0.7982119013552066,99.33043679133353,-166.78296478172538,-0.7897965563265267,-96.18283224097806,948.5974020947,-158.80084576817333,9999.999999999998
0.009000000000000001,0.8974863904506969,99.24691477895448,-166.82943330447873,-0.8860171074167159,-95.78619761084505,939.4053880537423,-168.77173002565678,10068.057675710485,0.8974555273909589,99.15340095394193,-187.26869262186528,-0.8854858460885981,-95.17654982862443,1063.779983436554,-178.2941373479557,10000.000000000004
0.010000000000000002,0.9965459800159602,99.05958956526322,-187.32521369124825,-0.9807485161901186,-94.73140877340268,1054.7888374423728,-188.2563087432676,10074.805068208292,0.9965118953151831,98.9559417297271,-207.62745397839993,-0.9801114549372977,-94.05566854704804,1177.7737899625458,-197.66233502524807,9999.999999999996
0.011000000000000003,1.0953978746718027,98.85189465584246,-207.6949094207675,-1.0743109201385879,-93.5624039484693,1169.0048249333863,-207.6146390861921,10081.263526630724,1.0953606475030542,98.7381929156665,-227.8456111938166,-1.0735593996848065,-92.821440995638,1290.4514044035927,-216.89200471878607,10000.000000000002
0.012000000000000004,1.1940218444694175,98.6239697976147,-227.9248582277571,-1.1665913985278324,-92.28047838924452,1281.9255592247798,-226.83327646080053,10087.407985729933,1.1939815669216298,98.50030187403911,-247.90967368273397,-1.1657170132135468,-91.47524647191157,1401.6868712270646,-235.96985801351767,9999.999999999998
0.013000000000000005,1.2923978127242879,98.37596825487029,-248.00154274441914,-1.2574784522420883,-90.88705371425588,1393.4246749886331,-245.89892112521204,10093.214769260834,1.292354590619265,98.24242937830014,-267.80631201013045,-1.2564730704201132,-90.01858943969225,1511.3558365240513,-254.8827661039378,10000.000000000002
0.014000000000000005,1.3905058693745342,98.10805665024641,-267.9116046238805,-1.346862128582977,-89.38367634088858,1503.3773733673002,-264.7984321616622,10098.661695331797,1.3904598230538898,97.9647494449651,-287.5223717916884,-1.3457179125576053,-88.45309785827709,1619.335686118755,-273.6177735611495,10000.000000000004
0.015000000000000006,1.4883262841662912,97.82041479175692,-287.6418584894964,-1.434634144363121,-87.77201578014395,1611.6605607446393,-283.5188412749268,10103.728175135004,1.488277549246246,97.66744915168846,-307.0448874009396,-1.433343569838526,-86.78052137444662,1725.505681747003,-292.1621119084772,10000.000000000004
0.016000000000000007,1.5858395196523536,97.51323548606231,-307.1793056946042,-1.520688007157627,-86.0538627945059,1718.1529856380475,-302.04736640154744,10108.395304616326,1.585788247744395,97.35072844173902,-326.3610954680639,-1.5192438821618048,-85.00272937932577,1829.7470951524247,-310.50321299062,10000.000000000004
0.017000000000000008,1.6830262439905384,97.18672433818479,-326.5111478775216,-1.6049191345785738,-84.23112742094673,1822.7353735591744,-320.37142511481653,10112.645948675765,1.6829726033859762,97.01479991508556,-345.458448155469,-1.6033146178301163,-83.12170893225115,1931.9433399517256,-328.62872212160926,9999.999999999998
0.01800000000000001,1.7798673435284262,96.84109953788797,-345.6248002968166,-1.687224971439827,-82.30583686125334,1925.2905596933904,-338.4786478107,10116.46481752264,1.7798115198449627,96.65988860632594,-364.32462619548994,-1.6854535901254406,-81.1395625539501,2031.980101122481,-346.5265109970403,10000.000000000002
