Time,s1*,s1d*,s1dd*,s2*,s2d*,s2dd*,f*,E*,s1_ref,s1d_ref,s1dd_ref,s2_ref,s2d_ref,s2dd_ref,f_ref,E_ref
0.0,0.0,100.0,0.0,0.0,-100.0,0.0,-0.0,10000.0,0.0,100.0,-0.0,0.0,-100.0,0.0,0.0,10000.0
0.01,0.996546545586284,99.05979637784944,-187.2627358206626,-0.9799660143471562,-94.57408026980812,1072.1151828606596,-188.1938479663632,10059.012273354609,0.9965118953151832,98.9559417297271,-207.62745397839996,-0.9801114549372976,-94.05566854704804,1177.7737899625458,-197.66233502524807,9999.999999999996
0.02,1.972447731113825,96.09541273128994,-382.8548901086583,-1.8423994888309028,-77.83813796510825,2138.6550384902675,-373.700908197962,10090.87568899416,1.9723778177605809,95.89407853146396,-401.3154005586808,-1.8435384060501687,-76.8808652575222,2225.130028431244,-381.591622381075,10000.000000000004
0.03,2.908447953905368,91.3050915951778,-553.0739890823885,-2.4835545489616155,-51.67180667893846,2963.361017013519,-534.0330696188043,10083.299174217736,2.908333643890803,91.01805731721946,-568.5684847667193,-2.486517839387309,-50.37773295914932,3026.0029877151205,-539.4851483278112,10000.000000000007
0.04,3.7879201564765888,85.00045727665153,-687.8804927609544,-2.824609998434286,-19.01673994467322,3458.237277841092,-659.3513414966202,10040.587337348556,3.787735857330174,84.64379358231578,-699.6217208586227,-2.829707765523036,-17.483041220561507,3491.4521278083566,-661.744362285321,10000.000000000007
0.05,4.597829125822215,77.57405091411417,-780.894081360637,-2.8201528816511834,16.507349556275713,3569.794070942752,-743.4489357029674,9978.767136753311,4.597529770944747,77.16692946727007,-788.4281983108449,-2.826999235069227,18.155011028634696,3569.452135670625,-742.4529006013973,9999.999999999996
0.06,5.329324374887808,69.4591401373483,-829.9885928790593,-2.4630733737816337,50.96079678345272,3285.230963609849,-784.3358545452894,9922.234326165391,5.328849345974039,69.02237346698097,-833.2405134758684,-2.470670854187241,52.57831874890085,3250.622874203369,-779.952020016128,9999.999999999996
0.07,5.977907750497076,61.08595564608664,-837.4420416777222,-1.785400255344734,80.51618709639972,2635.276713441778,-784.382419293821,9893.126681807218,5.977190993792553,60.64034100310648,-836.7228179705066,-1.7923180865332575,81.95455852497446,2569.268994565839,-776.9509080325811,10000.000000000004
0.08,6.543165756944832,52.839078099703926,-809.6049127078941,-0.8547995138920191,101.89026645728126,1693.411111803291,-749.9855537294133,9902.697989095894,6.542150252012414,52.40369171445084,-805.581961638069,-0.8594543391670346,102.99912126794004,1599.6147982849795,-740.1604591179448,10000.0
0.09,7.02810437345618,45.02071368898168,-756.1118939147225,0.2329702747987749,112.6971882020818,559.2217673638291,-690.7831286859487,9946.561645688062,7.026757874343022,44.6112089115936,-749.7590538734026,0.2318431230432976,113.33688232766156,447.6483520866748,-679.4914751299724,10000.0
0.1,7.438167685935958,37.82370719108442,-688.7797804704368,1.364252231825808,111.6716599108154,-644.5726079801251,-618.5587114020965,10002.442442282118,7.436495427096509,37.45080580531408,-681.2710608060536,1.3674343617456248,111.76401722818449,-760.5282552105364,-606.9061065350884,10000.0
0.11,7.780052743036704,31.31693160054535,-620.2662133249047,2.419789646232046,98.84238690131916,-1786.105554874564,-545.9105483705978,10042.241919388016,7.77810515960078,30.98554460373755,-612.8304866039429,2.427610809521429,98.38106324564352,-1892.5613745134945,-535.049435007935,10000.0
0.12,8.060455306062213,25.44481725085905,-562.6251509318138,3.2877941875542454,75.53415917989376,-2739.074529782886,-484.8195277687861,10044.98868014033,8.058330903390077,25.15393925986671,-556.3955290579444,3.3002087031496408,74.58258643033837,-2824.396483125597,-475.8122200240436,9999.999999999996
0.1300000000000001,8.284889691007564,20.041109043925257,-525.9215001930816,3.87636834549372,44.24990726453189,-3396.631251030386,-445.2771252778376,10007.915955941324,8.282733644124734,19.78443625309217,-521.8106762237162,3.892900246300046,42.904583231206345,-3453.916906517578,-438.9833397824688,10000.000000000004
0.1400000000000001,8.45671850299712,14.855420838024711,-517.0709338981762,4.123692879154859,8.352827761617018,-3689.4079652326286,-434.13784516038777,9943.984102779625,8.454716450062167,14.622403728195035,-515.6876896728562,4.143311198339822,6.746391328265126,-3712.170673167587,-431.1405251722345,10000.000000000004
0.1500000000000001,8.576503479330913,9.589297428601345,-539.0695189181411,4.004610768975616,-28.299641935517183,-3585.6768257515696,-454.359306841978,9877.758092328942,8.574869624440733,9.366579651942054,-540.6504036927263,4.025852549957544,-30.00231501848878,-3570.9508425092245,-454.901707448319,9999.999999999996
0.1600000000000001,8.641750228182694,3.937686201692802,-590.648846708434,3.533334443819709,-61.77088527505197,-3097.164663698325,-504.66448990879337,9835.994792412606,8.64071090352495,3.710886152205424,-595.0266755391541,3.554515238485904,-63.38843159321513,-3045.8956719819985,-508.6195665039046,9999.999999999996
0.1700000000000001,8.647076316073974,-2.3687375512808417,-666.4060448771583,2.761852730782251,-88.47637943394746,-2277.738607712936,-579.6747205857775,9836.408047451769,8.64685121976022,-2.613075329687753,-673.021559861627,2.781320743119973,-89.82929156909617,-2194.7676954559483,-586.5530476640247,10000.0
0.1800000000000001,8.584785085485048,-9.52512343953786,-757.3964125857001,1.7742010479389962,-105.57605602104668,-1217.467921506308,-670.5007981525006,9880.105891446412,8.585568871291297,-9.797609827056212,-765.3527692295884,1.7905980661245429,-106.50578695321728,-1111.1009856078674,-679.4970805166754,10000.0
0.1900000000000001,8.445782173918266,-17.622183792570613,-852.1233818341643,0.6772262600607598,-111.28471507951711,-32.71663671666636,-765.7271198777989,9950.911521615062,8.447729137267302,-17.92890914900108,-860.27855317998,0.689716519194232,-111.67151868714336,86.08474261307498,-775.801261807307,10000.0
0.2000000000000001,8.220733236567481,-26.627522190432536,-937.8168450108012,-0.4111380939564041,-105.0664784820963,1146.6431722923598,-852.6804852041788,10021.87459353648,8.223947498895296,-26.968816803949476,-944.904882342647,-0.4027065746416448,-104.8439848529347,1265.371981995339,-862.665407353694,10000.000000000002
0.2100000000000001,7.901334076269472,-36.38068303848893,-1001.859214030668,-1.3747979224408564,-87.69201737293315,2191.4922429937787,-918.8439981337395,10066.24331221372,7.905866953839094,-36.750470471986766,-1006.628018921542,-1.3698265399924157,-86.85678942000536,2297.395889375566,-927.5693493831508,9999.999999999996
0.2200000000000001,7.481551255107676,-46.60254321359571,-1033.2023583737505,-2.112206768839326,-61.15236325521827,2987.632929863912,-953.2605660691784,10068.290697018336,7.4874064984197455,-46.98838672137654,-1034.553578869611,-2.109388640434392,-59.76713831604701,3069.068154319805,-959.6795138854136,10000.0
0.2300000000000001,6.958693746474524,-56.918087323098405,-1023.618398597264,-2.547440921939182,-28.429953143925687,3451.2851252276287,-947.770471526978,10029.139985514974,6.965840181944862,-57.301961476196,-1020.735692368317,-2.544932723543821,-26.62880438988289,3496.01001409269,-951.0772905488684,10000.000000000007
0.2400000000000001,6.33419448342714,-66.89001241320726,-968.6221969611852,-2.638173653348596,6.855370838873938,3531.972716002539,-897.922350761461,9966.394645460909,6.342583962546854,-67.2498806189603,-961.0995734666568,-2.634153375865028,8.844462202480539,3531.827109706216,-897.6737338411882,10000.000000000004
0.2500000000000001,5.6140135818415855,-76.05946364039266,-868.0204480848304,-2.380358223944087,40.76590687403972,3217.9986392716146,-803.5137712659712,9909.587994355225,5.623598961871828,-76.37173076100126,-855.9455507421249,-2.373496649362238,42.688053617772034,3173.2062104856445,-799.7095611234066,9999.999999999996
0.2600000000000002,4.808612715991604,-83.99001411032287,-726.0267671996825,-1.808893027927189,69.51164095751592,2544.202152663853,-668.7017384876309,9884.32523747311,4.819361184742312,-84.23230313001174,-709.9785686708059,-1.798488383491515,71.12315326806466,2460.2733403148977,-661.7849568233827,9999.999999999998
